EmpID,FirstName,LastName,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,AttritionValue,TerminationDescription,DepartmentType,Division,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3427,Uriah,Bridges,Production Technician I,Peter Oneill,uriah.bridges@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Unknown,0,Other,Production       ,Finance & Accounting,MA,Accounting,Female,34904,White,Widowed,Fully Meets,4
3428,Paula,Small,Production Technician I,Renee Mccormick,paula.small@bilearner.com,EW,Active,Contract,Zone A,Part-Time,Unknown,0,Other,Production       ,Aerial,MA,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3
3429,Edward,Buck,Area Sales Manager,Crystal Walker,edward.buck@bilearner.com,PL,Active,Full-Time,Zone B,Part-Time,Unknown,0,Other,Sales,General - Sga,MA,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4
3430,Michael,Riordan,Area Sales Manager,Rebekah Wright,michael.riordan@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Unknown,0,Other,Sales,Finance & Accounting,ND,Clerk,Male,58782,Other,Single,Fully Meets,2
3431,Jasmine,Onque,Area Sales Manager,Jason Kim,jasmine.onque@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Unknown,0,Other,Sales,General - Con,FL,Laborer,Female,33174,Other,Married,Fully Meets,3
3432,Maruk,Fraval,Area Sales Manager,Sheri Campos,maruk.fraval@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Unknown,0,Other,Sales,Field Operations,CT,Driver,Male,6050,Black,Married,Fully Meets,3
3433,Latia,Costa,Area Sales Manager,Jacob Braun,latia.costa@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,1,Me see picture nature degree benefit.,Sales,General - Eng,CA,Technician,Female,90007,Hispanic,Divorced,Exceeds,4
3434,Sharlene,Terry,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,1,Blue community type skill story.,Sales,Engineers,OR,Engineer,Female,97756,White,Divorced,Fully Meets,2
3435,Jac,McKinzie,Area Sales Manager,Sharon Becker,jac.mckinzie@bilearner.com,NEL,Active,Contract,Zone B,Part-Time,Unknown,0,Other,Sales,Executive,TX,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3
3436,Joseph,Martins,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,Resignation,1,Summer personal bag.,Sales,Engineers,TX,Engineer,Male,78207,Asian,Widowed,Fully Meets,5
3437,Myriam,Givens,Area Sales Manager,Troy White,myriam.givens@bilearner.com,SVG,Active,Contract,Zone B,Temporary,Unknown,0,Other,Sales,Field Operations,IN,Technician,Female,46204,Other,Single,Fully Meets,5
3438,Dheepa,Nguyen,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,1,Alone once than. More condition pay far.,Sales,General - Con,GA,Technician,Female,30428,Asian,Married,Fully Meets,3
3439,Bartholemew,Khemmich,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,Involuntary,1,Foot in theory minute recognize test.,Sales,Splicing,CO,Splicer,Male,80820,Other,Single,Fully Meets,3
3440,Xana,Potts,Area Sales Manager,Gregory Walker,xana.potts@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Resignation,1,Degree wish science when thing week old.,Sales,Finance & Accounting,KY,Controller,Female,40220,White,Divorced,Fully Meets,3
3441,Prater,Jeremy,Area Sales Manager,Tyler Lewis,prater.jeremy@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unknown,0,Other,Sales,General - Con,NV,Lineman,Male,89139,Asian,Widowed,Exceeds,4
3442,Kaylah,Moon,Area Sales Manager,Ashley Scott,kaylah.moon@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,1,Fear particular method stage.,IT/IS,Field Operations,MA,Laborer,Male,2810,Black,Single,Exceeds,2
3443,Kristen,Tate,Area Sales Manager,Lauren Jones,kristen.tate@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,1,Wall body wonder successful.,IT/IS,Project Management - Con,KY,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3
3444,Bobby,Rodgers,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Voluntary,1,Visit foot nearly radio treatment.,Sales,Engineers,KY,Director,Male,44553,Other,Widowed,Fully Meets,3
3445,Reid,Park,Area Sales Manager,Michelle Mitchell,reid.park@bilearner.com,PL,Active,Contract,Zone C,Full-Time,Unknown,0,Other,Sales,Project Management - Con,KY,Supervisor,Female,5360,Other,Married,Exceeds,4
3446,Hector,Dalton,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unknown,0,Other,Sales,Field Operations,TX,Driller,Female,16325,White,Divorced,Exceeds,2
